group_one,group_two,group_three,y
4602979.524999961,10299967.161999958,724711.701000005,9800.0
2518198.746999986,10221152.585000115,657233.4050000022,8189.0
1702174.3229999992,9007353.408999968,2428201.6649999577,7201.0
0.0,2743352.9830000303,5313478.391000158,3792.0
0.0,251060.55600000048,5096060.686999994,2278.0
0.0,0.0,2203906.0940000154,1338.0
0.0,0.0,497128.56099999696,1025.0
0.0,0.0,965661.9379999752,933.0
0.0,554.6649999999998,2381979.3120000055,1066.0
0.0,133302.62300000008,5460831.501999942,1974.0
108987.40099999963,7847481.445000106,3308993.3960000384,6140.0
1598148.0859999878,10733182.204000514,1304302.984000004,8492.0
